TUR METRO GROSMARKET BAKIRKÖY ALIŞVERİŞ HİZMETLERİ TİC. LTD. - 2019,metro-grosmarket-bakirk-y-ali-ver-h-zmetler-t-c-ltd-t-le-sosyal--send-kasi-arasinda-ba-itlanan---2019,Turkey,tr,2019
TUR LUFTHANSA ÇAĞRI MERKEZİ VE MÜŞTERİ HİZMETLERİ - 2018,lufthansa-a-ri-merkez-ve-m-ter-h-zmetler-t-c-a-le-sosyal--send-kasiarasinda-ba-itlanan---2018,Turkey,tr,2018
TUR İZFAŞ İZMİR FUARCILIK HİZMETLERİ KÜLTÜR VE SANAT İŞLERİ TİCARET ANONİM ŞİRKETİ İLE SOSYAL - 2018,-zfa-zm-r-fuarcilik-h-zmetler-k-lt-r-ve-sanat-ler-t-caret-anon-m-rket-le-sosyal-t-rk-ye-sosyal-s-gortalar-e-t-m-b-ro-t-caret-kooperat-f-ve-g-zel-sanatlar-ler-send-kasi-arasinda-ba-itlanan,Turkey,tr,2018
TUR ULUSLARARASI AF ÖRGÜTÜ TÜRKİYE - 2019,uluslararasi-af-rg-t-t-rk-ye-ubes-le-sosyal--send-kasi-arasinda-ba-itlanan-01-01-2019-31-12-2021-y-r-rl-k-s-rel-toplu-s-zle-mes-,Turkey,tr,2019
TUR UPS HIZLI KARGO TAŞIMACILIĞI A.Ş. - 2019,-ups---ups-hizli-kargo-ta-imacili-i-a-le-t-mt-s---t-m-ta-ima-ler-send-kasi-arasinda-yapilan-4-d-nem-letme-toplu-s-zle-mes-y-r-rl-k-s-res-,Turkey,tr,2019
TUR HİZMET KOLLARINA YÖNELİK MALİ VE SOSYAL - 2018,kamu-g-revl-ler-n-n-genel-ne-ve-h-zmet-kollarina-y-nel-k-mal-ve-sosyal-haklara-l-k-n-2018-ve-2019-yillarini-kapsayan-4-d-nem-toplu-s-zle-me,Turkey,tr,2018
"TUR ÜNİBEL ÖZEL EĞİTİM BİLGİ TEKNOLOJİLERİ KÜLTÜR, TANITIM VE YAYINCILIK SAN. - 2018",-n-bel-zel-e-t-m-b-lg-teknoloj-ler-k-lt-r-tanitim-ve-yayincilik-san-ve-t-c-a-le-sosyal--send-kasi-arasinda-ba-itlanan---2018,Turkey,tr,2018
DÖRDÜNCÜ BÖLÜM YEREL YÖNETİM HİZMET KOLUNA İLİŞKİN TOPLU SÖZLEŞME -,d-rd-nc-b-l-m-yerel-y-net-m-h-zmet-koluna-l-k-n-toplu-s-zle-me,Turkey,tr,
"BEŞİNCİ BÖLÜM BASIN, YAYIN VE İLETİŞİM HİZMET KOLUNA İLİŞKİN TOPLU SÖZLEŞME -",be-nc-b-l-m-basin-yayin-ve-let-m-h-zmet-koluna-l-k-n-toplu-s-zle-me,Turkey,tr,
ONBİRİNCİ BÖLÜM DİYANET VE VAKIF HİZMET KOLUNA İLİŞKİN TOPLU SÖZLEŞME -,onb-r-nc-b-l-m-d-yanet-ve-vakif-h-zmet-koluna-l-k-n-toplu-s-zle-me,Turkey,tr,
"YEDİNCİ BÖLÜM BAYINDIRLIK, İNŞAAT VE KÖY HİZMET KOLUNA İLİŞKİN TOPLU SÖZLEŞME -",yed-nc-b-l-m-bayindirlik-n-aat-ve-k-y-h-zmet-koluna-l-k-n-toplu-s-zle-me,Turkey,tr,
SEKİZİNCİ BÖLÜM ULAŞTIRMA HİZMET KOLUNA İLİŞKİN TOPLU SÖZLEŞME -,sek-z-nc-b-l-m-ula-tirma-h-zmet-koluna-l-k-n-toplu-s-zle-me,Turkey,tr,
ÜÇÜNCÜ BÖLÜM SAĞLIK VE SOSYAL HİZMET KOLUNA İLİŞKİN TOPLU SÖZLEŞME -,-nc-b-l-m-sa-lik-ve-sosyal-h-zmet-koluna-l-k-n-toplu-s-zle-me,Turkey,tr,
"ONUNCU BÖLÜM ENERJİ, SANAYİ VE MADENCİLİK HİZMET KOLUNA İLİŞKİN TOPLU SÖZLEŞME -",onuncu-b-l-m-enerj-sanay-ve-madenc-l-k-h-zmet-koluna-l-k-n-toplu-s-zle-me,Turkey,tr,
