cba_id,overtime_trig,annuleav_trig,N_ALs,comp_scores
memorandum-of-agreement-between-mount-kenya-game-ranch-ltd-conservancy-and-kenya-game-hunting-and-safaris-workers-union-in-matters-of-terms-and-conditions-of-employment-effective-1st-october-2010-to-30th-september-2012,1,1,0,3.67
memorandum-of-agreement-between-ritz-enterprises-limited-and-the-tailors-and-textile-workers-union,1,1,0,3.67
memorandum-of-agreement-between-smart-printers-limited-and-the-kenya-union-of-printing-publishing-paper-manufacturers-and-allied-workers,1,1,0,3.67
memorandum-of-agreement-between-st-christopher-s-schools-and-kenya-union-of-domestic-hotel-educational-institutions-hospitals-and-allied-workers,1,1,0,3.67
memorandum-of-agreement-between-straight-line-enterprises-limited-and-the-tailors-and-textiles-workers-union-,1,1,0,3.67
memorandum-of-agreement-between-sumaria-industries-limited-and-kenya-chemical-and-allied-workers-union-workers-,1,1,0,3.67
memorandum-of-agreement-between-super-foam-limited-and-kenya-chemical-and-allied-workers-union-,1,1,0,3.67
memorandum-of-agreement-between-m-s-thika-motor-dealers-limited-and-amalgamated-union-of-kenya-metal-workers,1,1,0,3.67
collective-bargaining-agreement-between-uchumi-supermarkets-limited-and-the-kenya-union-of-commercial-food-and-allied-workers-in-the-matter-of-wages-and-other-terms-and-conditions-of-employment,1,1,1,5
agreement-between-sameer-africa-limited-and-amalgamated-union-of-kenya-metal-workers,1,1,0,3.67
memorandum-of-agreement-between-karen-country-club-and-kenya-union-of-domestic-hotels-educational-institutions-hospitals-and-allied-workers-,1,1,1,5
collective-bargaining-agreement-between-the-motor-trade-and-allied-industries-employers-association-and-the-amalgamated-union-of-kenya-metal-workers-,1,1,0,3.67
association-of-local-government-employers-and-kenya-local-government-workers-union-national-joint-negotiating-council-incorporating-all-local-authorities-in-kenya,1,1,0,3.67
memorandum-of-agreement-between-the-minor-engineering-group-of-federation-of-kenya-employers-and-kenya-engineering-workers-union,1,1,0,3.67
memorandum-of-agreement-between-kenpoly-manufacturers-limited-and-the-kenya-chemical-and-allied-workers-union-,1,1,0,3.67
memorandum-of-agreement-between-laboratory-and-allied-limited-and-kenya-chemical-and-allied-workers-union-,1,1,0,3.67
memorandum-of-agreement-between-pegant-limited-and-kenya-chemical-and-allied-workers-union,1,1,0,3.67
memorandum-of-agreement-between-ol-pejeta-ranching-limited-and-kenya-game-hunting-and-safari-workers-union,1,1,0,3.67
memorandum-of-agreement-between-air-connection-limited-and-kenya-shipping-clearing-and-warehouses-workers-union,1,1,0,3.67
memorandum-of-agreement-between-easy-coach-ltd-and-transport-workers-union-k-,1,1,0,3.67
