cba,language,readability,diveristy,accessibility
ccnl-per-i-lavoratori-addetti-al-servizio-elettrico-2019-2021,it,2.25,3.5,2.88
ccnl-dipendenti-delle-aziende-societ-ed-enti-pubblici-economici-aderenti-a-federcasa-2016-2018,it,2.0,3.5,2.75
ccnl-impiegati-amministrativi-agenzie-generali-di-generali-italia-s-p-a-2018-2020,it,3.25,2.5,2.88
ccnl-consorzi-ed-enti-di-sviluppo-industriale-2019---2021,it,2.5,2.5,2.5
ccnl-dipendenti-avis-2010---2012,it,3.5,2.25,2.88
ccnl-personale-anpas-e-realt-operanti-ambito-sociosanitario-assistenziale-educativo-delle-pubbliche-assistenze-2017-2019,it,3.0,2.5,2.75
ccnl-personale-fondazioni-2016-2018,it,2.75,3.25,3.0
ccnl-personale-impiegatizio-e-quadro-agenzia-demanio-ente-pubblico-economico-2016-2018,it,2.0,2.5,2.25
ccnl-personale-non-dirigente-coni-servizi-spa-e-federazioni-sportive-nazionali-2015-2017,it,3.0,3.0,3.0
ccnl-istituti-e-imprese-vigilanza-privata-e-servizi-fiduciari-assicurezza,it,4.0,2.5,3.25
ccnl-personale-non-dirigente-poste-italiane,it,2.0,2.75,2.38
ccnl-industria-della-carta-e-cartone-cellulosa-pasta-legno-fibra-vulcanizzata-aziende-cartotecniche-e-trasformatrici-della-carta-2017-2019,it,3.5,2.5,3.0
ccnl-dipendenti-imprese-gestite-e-partecipate-da-enti-locali-esercenti-farmacie-parafarmacie-magazzini-all-ingrosso-e-laboratori-2013-2015,it,3.5,2.5,3.0
ccnl-dipendenti-da-istituti-e-imprese-di-vigilanza-privata-e-servizi-fiduciari-2013-2015,it,3.5,3.5,3.5
ccnl-dipendenti-dai-consorzi-di-bonifica-e-di-miglioramento-fondiario-2015-2018,it,3.0,3.5,3.25
ccnl-personale-non-direttivo-e-non-dirigente-del-corpo-nazionale-dei-vigili-del-fuoco-2016-2018,it,4.0,2.75,3.38
ccnl-dipendenti-da-aziende-dei-settori-pubblici-esercizi-ristorazione-collettiva-e-commerciale-e-turismo-2018-2021,it,2.5,3.0,2.75
-ccnl-dipendenti-aziende-esercenti-produzione-cemento-calce-e-suoi-derivati-gesso-e-relativi-manufatti-2016-2018-,it,2.25,3.5,2.88
ccnl-addetti-all-industria-dell-energia-e-del-petrolio-2016-2018,it,2.0,3.5,2.75
ccnl-lavoratori-dei-porti-2016-2018,it,3.0,3.0,3.0
ccnl-lavoratori-cooperative-esercenti-attivit-settore-taxi-radio-taxi-e-settori-strumentali-e-collaterali-al-trasporto-pubblico-locale-non-di-linea-2015-2019,it,3.5,2.5,3.0
accordo-collettivo-nazionale-collaboratori-universit-non-statali-2015-2016,it,2.0,3.0,2.5
ccnl-rapporti-di-agenzia-e-rappresentanza-commerciale-comparto-artigiano-2015-2017,it,3.25,3.25,3.25
ccnl-agenzie-di-somministrazione-di-lavoro-2019-2021,it,2.25,2.5,2.38
ccnl-personale-comparto-sanit-sezione-ricerca-sanitaria-e-attivit-supporto-alla-ricerca-2016-2018,it,4.0,3.75,3.88
ccnl-lavoratori-dipendenti-imprese-attivit-agromeccaniche-2018-2020,it,3.0,2.5,2.75
ccnl-quadri-e-impiegati-aziende-gruppo-invitalia-2017-2019,it,2.5,2.75,2.62
ccnl-servizi-ambientali-2016-2019,it,2.5,3.0,2.75
accordo-collettivo-nazionale-collaboratori-enti-di-ricerca-privati-istituto-di-ricovero-a-carattere-scientifico-2016,it,2.0,2.5,2.25
ccnl-artisti-tecnici-amministrativi-e-ausiliari-dipendenti-da-societ-cooperative-e-imprese-sociali-produzione-culturale-e-spettacolo-2015-2018,it,3.0,3.5,3.25
ccnl-dipendenti-aziende-videofonografiche-2014-2016,it,3.25,2.75,3.0
ccnl-dipendenti-da-proprietari-di-fabbricati-2013-2014,it,4.0,2.0,3.0
cnnl-personale-dipendente-agenzie-marittime-e-mediatori-marittimi-2018-2020,it,2.75,3.0,2.88
ccnl-personale-del-comparto-sanit-2016-2018,it,3.75,3.0,3.38
ccnl-testate-periodiche-di-informazione-locale-no-profit-e-online-2018-2020,it,2.25,3.25,2.75
ccnl-quadri-e-impiegati-agricoli-2016-2019,it,3.25,2.25,2.75
ccnl-settore-gas-e-acqua-2016-2018,it,2.5,3.0,2.75
ccnl-personale-dipendente-settore-assistenziale-socio-sanitario-e-cure-post-intensive-2017-2019,it,3.75,2.5,3.12
ccnl-per-gli-operai-agricoli-e-florovivaisti-2018-2021,it,2.75,2.25,2.5
ccnl-imbarcati-sui-natanti-di-cooperative-di-pesca-2017-2020,it,3.75,2.25,3.0
ccnl-dipendenti-imprese-artigiane-e-delle-piccole-e-medie-imprese-dell-area-comunicazione-2016-2018,it,2.75,2.75,2.75
ccnl-dipendenti-imprese-artigiane-di-noleggio-autobus-con-conducente-e-relative-attivit-correlate-2019-2020,it,2.25,2.5,2.38
ccnl-dipendenti-degli-istituti-per-il-sostentamento-del-clero-2017-2019,it,3.75,2.75,3.25
ccnl-dipendenti-dagli-esercizi-cinematografici-e-cinema-teatrali-2017-2019,it,2.5,3.75,3.12
ccnl-dipendenti-aziende-di-lavorazione-della-foglia-di-tabacco-secco-allo-stato-sciolto-2017-2020,it,3.25,2.5,2.88
ccnl-aziende-esercenti-lavorazione-commercio-trasporto-esportazione-e-importazione-all-ingrosso-di-fiori-freschi-recisi-verde-e-piante-ornamentali-per-imprese-commerciali-consortili-o-cooperative-e-g-e-i-e-2018,it,2.5,2.75,2.62
ccnl-area-tessile-moda-chimica-ceramica---2018,it,2.5,2.5,2.5
ccnl-addetti-degli-impianti-di-trasporto-a-fune-2022-,it,2.75,3.25,3.0
ccnl-personale-dipendente-dagli-istituti-scolastico-educativi-gestiti-da-enti-ecclesiastici-agidae-2018-,it,3.5,2.25,2.88
ccnl-personale-del-comparto-istruzione-e-ricerca-2018-,it,4.0,3.0,3.5
ccnl-personale-del-comparto-funzioni-locali-2018-,it,3.75,3.25,3.5
ccnl-personale-del-comparto-funzioni-centrali-2018-,it,4.0,3.5,3.75
ccnl-personale-addetto-ai-servizi-all-infanzia-e-alle-scuole-dell-infanzia-non-statali-2018-,it,3.75,2.75,3.25
ccnl-dipendenti-di-imprese-e-societ-esercenti-servizi-ambientali-2019-,it,3.25,3.0,3.12
ccnl-dipendenti-delle-ambasciate-consolati-legazioni-istituti-culturali-ed-organismi-internazionali-in-italia-2019-,it,3.75,3.0,3.38
ccnl-dipendenti-degli-studi-professionali-2018-,it,3.25,3.5,3.38
ccnl-dipendenti-cooperative-e-consorzi-agricoli-2019-,it,2.5,2.75,2.62
ccnl-dipendenti-agenzie-di-assicurazione-in-gestione-libera-2020-,it,3.5,2.5,3.0
ccnl-aninsei-per-il-personale-della-scuola-non-statale-2018-,it,3.5,2.25,2.88
ccnl-dipendenti-dalle-aziende-metalmeccaniche-e-della-installazione-di-impianti-2019-,it,2.0,3.5,2.75
ccnl-ormeggiatori-e-barcaioli-dei-porti-italiani-2019-,it,2.0,2.5,2.25
ipotesi-di-accordo-comifar-distribuzione-s-p-a-2015---2018-,it,2.0,3.75,2.88
verbale-di-accordo-canon-italia-spa---2016,it,3.75,3.5,3.62
accordo-integrativo-aziendale-adp-employer-services-italia-s-p-a-adp-outsourcing-italia-s-r-l-adp-software-solutions-italia-s-r-l-2015---2019,it,2.75,3.25,3.0
ipotesi-di-accordo-contratto-integrativo-aziendale-gft-italia-s-r-l-2016---2018,it,3.5,3.0,3.25
ipotesi-di-accordo-tra-autogrill-s-p-a-e-le-segreterie-nazionali-delle-oo-ss-di-filcams-cgil-fisascat-cisl-e-uiltucs-uil-2015,it,2.5,2.25,2.38
ipotesi-di-accordo-tra-gs-spa-ssc-srl-diperd-srl-carrefour-property-srl-carrefour-italia-finance-srl-carrefour-banque-sa-e-filcams-cgil-fisascat-cisl-uiltus-uil-2016,it,2.0,2.0,2.0
contratto-collettivo-nazionale-di-lavoro-commercio-2015---2017,it,2.75,2.75,2.75
ipotesi-contratto-integrativo-eataly-2015-,it,2.0,2.75,2.38
verbale-incontro-rinnovo-contratto-collettivo-aziendale-ikea---2015,it,4.0,3.0,3.5
ipotesi-accordo-metro-italia-cash-carry-s-p-a---2016,it,2.0,4.0,3.0
accordo-integrativo-aziendale-zara---2015,it,2.0,3.75,2.88
ccnl-sulla-disciplina-del-rapporto-di-lavoro-domestico---2013-,it,4.0,2.75,3.38
joint-declaration-on-human-rights-and-working-conditions-in-the-bmw-group-2005,en,2.0,3.0,2.5
collective-agreement-thyssenkrupp-steel-immediate-corona-crisis-package-and-future-pact-for-steel-20-30,en,2.0,3.5,2.75
allianz-group-agreement-on-guidelines-concerning-lifelong-learning-2012,en,2.0,2.75,2.38
charta-der-zeitarbeit-im-volkswagen-konzern-2012,de,1.0,2.75,2.0
international-framework-agreement-ford-motor-company-and-global-imf-ford-global-information-sharing-network-agreed-upon-social-rights-and-social-responsibility-principles-2012,en,2.0,3.25,2.62
principles-of-social-responsibility-at-daimler-2012,en,2.0,3.0,2.5
internationales-rahmenabkommen-zwischen-der-siemens-ag-dem-gesamtbetriebsrat-der-siemens-ag-der-ig-metall-und-der-industriall-global-union-2012,de,1.33,2.75,2.14
basic-principles-of-social-responsibility-at-bosch-2004,en,2.0,3.0,2.5
tarifvertrag-2016-2016-hessischen-einzelhandel,de,1.67,1.75,1.71
